priority_score,section,content_type,route,name,risk_level,review_age_days,word_count,quality_status,quality_completion_score,issue_classifications,canonical_risk_type,recommended_action,recommended_canonical_url,duplicate_group_key,duplicate_group_size,canonical_confidence_score,missing_source_url,missing_required_fields,data_quality_flags,reasons
79,dog-parks,Dog Parks,/dog-parks/rutland-recreation-park-kelowna/,Rutland Recreation Park,Very high,375,90,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 90 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/saratoga-dog-park/,Saratoga Dog Park,Very high,375,96,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 96 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/scenic-drive-dog-run/,Scenic Drive Dog Run,Very high,375,91,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 91 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/shaughnessy/,Shaughnessy,Very high,376,89,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 376 days; thin content 89 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/sheffield-dog-off-leash-area/,Sheffield Dog Off Leash Area,Very high,376,92,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 376 days; thin content 92 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/south-bear-creek-off-leash-dog-park/,South Bear Creek Off-Leash Dog Park,Very high,375,99,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 99 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/southwest-dog-park-saskatoon/,Southwest Dog Park,Very high,375,93,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 93 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/steve-mcdonnell/,Steve McDonnell Leash Free Dog Park,Very high,376,96,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 376 days; thin content 96 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/three-mile-bend-recreation-area/,Three Mile Bend Recreation Area,Very high,375,93,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 93 words; missing park fields: rules, reviewedOn"
79,dog-parks,Dog Parks,/dog-parks/warner-loat-park-burnaby/,Warner Loat Park,Very high,375,88,thin-content,89,needs-content-expansion; needs-human-review,,,,,,,no,rules; reviewedOn,,"stale 375 days; thin content 88 words; missing park fields: rules, reviewedOn"
