Province,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Alberta,ab,68f3eba286b1e2a4d04cd70c,683758b09dd1e3ac2e4e9809,68fbd649485c76aa6b9020f2,false,false,Fri Oct 24 2025 19:40:57 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2026 17:45:00 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 19:40:57 GMT+0000 (Coordinated Universal Time)
British Columbia,bc,68f3eba286b1e2a4d04cd70c,683758b09dd1e3ac2e4e9809,68f7e0a79d74b7a55cb8beeb,false,false,Tue Oct 21 2025 19:36:07 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2026 17:35:00 GMT+0000 (Coordinated Universal Time),Tue Oct 21 2025 19:36:07 GMT+0000 (Coordinated Universal Time)
Ontario,on,68f3eba286b1e2a4d04cd70c,683758b09dd1e3ac2e4e9809,68f6a0a353408f6b33c1c357,false,false,Mon Oct 20 2025 20:50:43 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2026 18:00:00 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 17:23:30 GMT+0000 (Coordinated Universal Time)
Quebec,qc,68f3eba286b1e2a4d04cd70c,683758b09dd1e3ac2e4e9809,68fbde9df501f0b60f5586be,false,false,Fri Oct 24 2025 20:16:29 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2026 19:35:00 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 20:16:32 GMT+0000 (Coordinated Universal Time)
