"source","type","current_url_or_path","inferred_new_path","collection","slug","status","notes"
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/dog-name-finder.html","static-page","/dog-name-finder","/dog-name-finder/","","dog-name-finder","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/dog-names.html","static-page","/dog-names","/dog-names/","","dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/dog-parks.html","static-page","/dog-parks","/dog-parks/","","dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/female-dog-names.html","static-page","/female-dog-names","/female-dog-names/","","female-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/find-your-breed.html","static-page","/find-your-breed","/find-your-breed/","","find-your-breed","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/games/barkle.html","static-game-page","/barkle","/barkle/","","barkle","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/index.html","static-page","/","/","","","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/link-tree.html","static-page","/link-tree","/link-tree/","","link-tree","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/male-dog-names.html","static-page","/male-dog-names","/male-dog-names/","","male-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/manitoba-dog-parks.html","static-page","/manitoba-dog-parks","/manitoba-dog-parks/","","manitoba-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/nature-dog-names.html","static-page","/nature-dog-names","/nature-dog-names/","","nature-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/new-brunswick-dog-parks.html","static-page","/new-brunswick-dog-parks","/new-brunswick-dog-parks/","","new-brunswick-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/newfoundland-and-labrador-dog-parks.html","static-page","/newfoundland-and-labrador-dog-parks","/newfoundland-and-labrador-dog-parks/","","newfoundland-and-labrador-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/nova-scotia-dog-parks.html","static-page","/nova-scotia-dog-parks","/nova-scotia-dog-parks/","","nova-scotia-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/ontario-dog-parks.html","static-page","/ontario-dog-parks","/ontario-dog-parks/","","ontario-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/prince-edward-island-dog-parks.html","static-page","/prince-edward-island-dog-parks","/prince-edward-island-dog-parks/","","prince-edward-island-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/privacy-policy.html","static-page","/privacy-policy","/privacy-policy/","","privacy-policy","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/quebec-dog-parks.html","static-page","/quebec-dog-parks","/quebec-dog-parks/","","quebec-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/resources.html","static-page","/resources","/resources/","","resources","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/resources/dog-calorie-calculator.html","static-resource-page","/dog-calorie-calculator","/dog-calorie-calculator/","","dog-calorie-calculator","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/resources/dog-gear-finder.html","static-resource-page","/dog-gear-finder","/dog-gear-finder/","","dog-gear-finder","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/saskatchewan-dog-parks.html","static-page","/saskatchewan-dog-parks","/saskatchewan-dog-parks/","","saskatchewan-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/search.html","static-page","/search","/search/","","search","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/strong-dog-names.html","static-page","/strong-dog-names","/strong-dog-names/","","strong-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/style-guide.html","static-page","/style-guide","/style-guide/","","style-guide","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/suggest-a-dog-park.html","static-page","/suggest-a-dog-park","/suggest-a-dog-park/","","suggest-a-dog-park","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/terms-of-use.html","static-page","/terms-of-use","/terms-of-use/","","terms-of-use","review","Static Webflow HTML export."
