"collection","item_name","item_slug","field_name","original_webflow_url","expected_filename","public_path","status","notes"
"City Pages","Calgary","calgary","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6871d6f4f9092a9827cf604e_calgary-dog-parks.avif","","","missing","No source media file matched this tracker row."
"City Pages","Halifax","halifax","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","","","missing","No source media file matched this tracker row."
"City Pages","Kentville","kentville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b985b43343e3e3a1dc404b_Off-Leash%20Dog%20Park%20in%20Kentville%2C%20NS.jpg","","","missing","No source media file matched this tracker row."
"City Pages","London","london","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e567153d38594bfaf0aed6_london-dog-park-hero.jpg","","","missing","No source media file matched this tracker row."
"City Pages","Mississauga","mississauga","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f11fe46ed7e781525275fc_mississauga-jack-darling-dogs-grassy-field.jpg","","","missing","No source media file matched this tracker row."
"City Pages","Oakville","oakville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f11deca0b7c8cbfb2471ed_oakville-bronte-creek-dogs-nature-trail.jpg","","","missing","No source media file matched this tracker row."
"City Pages","Toronto","toronto","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841ef5c544b2be7210b151a_Toronto%20Leash-Free%20Dog%20Parks.jpg","city-toronto-hero.avif","/images/cities/city-toronto-hero.avif","review_required","Best source match scored 57: slug in filename, item name in filename, field purpose.; Medium confidence match has competing candidates and was not copy eligible."
"City Pages","Truro","truro","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","","","missing","No source media file matched this tracker row."
"City Pages","Vancouver","vancouver","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6870777b8ad3cc37e3a285e6_vancouver-dog-parks-directory-hero-graphic.png","city-vancouver-hero.jpg","/images/cities/city-vancouver-hero.jpg","review_required","Best source match scored 49: slug in filename, item name in filename.; Medium confidence match has competing candidates and was not copy eligible."
"Dog Breeds","French Bulldog","french-bulldog","Grooming","https://youtu.be/ZgkxfhtYPD8?si=8xbnB7cli8xRRp60","","","missing","No source media file matched this tracker row."
"Dog Breeds","French Bulldog","french-bulldog","Grooming","https://www.youtube.com/embed/ZgkxfhtYPD8","","","missing","No source media file matched this tracker row."
"Dog Breeds","German Shepherd","german-shepherd","Grooming","https://youtu.be/qSrTVfu7OLw?si=6zgIZmECNtmZKf-X","","","missing","No source media file matched this tracker row."
"Dog Breeds","German Shepherd","german-shepherd","Grooming","https://www.youtube.com/embed/qSrTVfu7OLw","","","missing","No source media file matched this tracker row."
"Dog Breeds","Golden Retriever","golden-retriever","Grooming","https://youtu.be/nlXNhHkGgWA?si=4WJ6tOgCI5hVW-ZR","","","missing","No source media file matched this tracker row."
"Dog Breeds","Golden Retriever","golden-retriever","Grooming","https://www.youtube.com/embed/nlXNhHkGgWA","","","missing","No source media file matched this tracker row."
"Dog Breeds","Korean Jindo Dog","korean-jindo-dog","Featured Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d71e4de5c516613ae0b5f7_jindo-dog-forest-trail-portrait-leashfree.avif","","","missing","No source media file matched this tracker row."
"Dog Breeds","Kuvasz","kuvasz","Featured Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d7208c14a43e6ce6c7bb44_korean-jindo-dog-forest-trail-portrait-leashfree.avif","","","missing","No source media file matched this tracker row."
"Dog Breeds","Labrador Retriever","labrador-retriever","Grooming","https://youtu.be/8q4RZHA-y64?si=uhvYAxtBf-dZXhmI","","","missing","No source media file matched this tracker row."
"Dog Breeds","Labrador Retriever","labrador-retriever","Grooming","https://www.youtube.com/embed/8q4RZHA-y64","","","missing","No source media file matched this tracker row."
"Dog Breeds","Shiba Inu","shiba-inu","Grooming","https://youtu.be/4ovpNNYN0Y4?si=8oFU-ABhrU2YRByS","","","missing","No source media file matched this tracker row."
"Dog Breeds","Shiba Inu","shiba-inu","Grooming","https://www.youtube.com/embed/4ovpNNYN0Y4","","","missing","No source media file matched this tracker row."
"Dog Breeds","Weimaraner","weimaraner","Grooming","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/687bb47826a01a43bc38b246_weimaraner-grooming-checklist-infographic.jpg","breed-weimaraner-image.avif","/images/breeds/breed-weimaraner-image.avif","review_required","Best source match scored 54: slug in filename, item name in filename, collection prefix.; Medium confidence match has competing candidates and was not copy eligible."
"Dog Parks","Andy Livingstone","andy-livingstone-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Andy Livingstone","balaclava-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Bayview Park","bayview-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6839fed3cc1d4f6c27cc82b4_bayview-park-burlington-on.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Bonavista","bonavista","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1ddd99d4134a28d49bb1_bonavista-off-leash-area-calgary-leash-free-dog-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Bowmont Park","bowmont-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5d67de0a388c0cb03029_bowmont-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Bronte Creek Provincial Park","bronte-creek-provincial-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68404b340b29131142ce3cf5_bronte-creek-provincial-park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Burgoyne Woods Leash-Free Dog Park","burgoyne-woods-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841e52e25871381dc760c35_Burgoyne%20Woods%20dog%20Park.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Burrard View Park","burrard-view-dog-park-vancouver","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","","","missing","No source media file matched this tracker row."
"Dog Parks","CRAB Park at Portside","crab-park-at-portside-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Cassels Avenue Playground","cassels-avenue-playground","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6842df1a4eaff16e4dd77650_A%20dog%20enjoying%20the%20Dogs%20Off-Leash%20Area%20at%20Cassels%20Avenue%20Playground..jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Central Park","central-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Charleson Park","charleson-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Colin Alton Parkette","colin-alton-parkette","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a01d98e772167f18a4d16_Colin%20Alton%20Parkette%20%E2%80%93%20Leash-Free%20Dog%20Area.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Community Common","community-common","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b325d245de2f3ad4139b_Community%20Common.jpg","","","missing","No source media file matched this tracker row."
"Dog Parks","Coopers' Park","coopers-dog-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6130c1a241f2ffa462_weimaraners-in-sunny-dog-park-grassy-field.png","","","missing","No source media file matched this tracker row."
"Dog Parks","Coxwell Ravine Park","coxwell-ravine-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841f3735fe1217bd1edde3c_Coxwell%20Ravine%20Park%20(Leash-Free%20Dog%20Area","","","missing","No source media file matched this tracker row."
"Dog Parks","Dale Hodges Park","dale-hodges-park","Media","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5eb23c874a2bf97a52b0_dale-hodges-park-sign-with-dog.png","","","missing","No source media file matched this tracker row."
