"filename","current_source_path","file_type","size_bytes","possible_match","reason","status","notes"
"68b988a5cf65bff2cb9d1d06_miniature-schnauzer-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68b988a5cf65bff2cb9d1d06_miniature-schnauzer-puppy-dog-names-hero.jpg",".jpg","67730","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc65ddb6fd71e63bef39c6_maltese-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc65ddb6fd71e63bef39c6_maltese-puppy-dog-names-hero.jpg",".jpg","52052","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc690ab82e6ba64017a1cc_boston-terrier-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc690ab82e6ba64017a1cc_boston-terrier-puppy-dog-names-hero.jpg",".jpg","47108","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc81f61628e4694492d575_pomeranian-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc81f61628e4694492d575_pomeranian-puppy-dog-names-hero.jpg",".jpg","45613","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc85c7558e9c33b7b44637_bulldog-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc85c7558e9c33b7b44637_bulldog-puppy-dog-names-hero.jpg",".jpg","55635","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc8704454cbbc5f3922a37_doberman-pinscher-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc8704454cbbc5f3922a37_doberman-pinscher-puppy-dog-names-hero.jpg",".jpg","48836","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc895f791514d5d306eb5b_boxer-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc895f791514d5d306eb5b_boxer-puppy-dog-names-hero.jpg",".jpg","44843","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc8ab70b51d0648829a796_rottweiler-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc8ab70b51d0648829a796_rottweiler-puppy-dog-names-hero.jpg",".jpg","48466","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc8d76752851d41a93cb73_great-dane-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc8d76752851d41a93cb73_great-dane-puppy-dog-names-hero.jpg",".jpg","52214","","No tracker row matched this local file.","unmatched","Review manually before publishing."
"68bc8f4916806beb8b765710_chihuahua-puppy-dog-names-hero.jpg","LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/CMS Media/68bc8f4916806beb8b765710_chihuahua-puppy-dog-names-hero.jpg",".jpg","55236","","No tracker row matched this local file.","unmatched","Review manually before publishing."
